"filename", "language", "TypeScript", "JSON", "JSON with Comments", "SQL", "Markdown", "JavaScript", "Log", "HTML", "XML", "vue", "CSS", "comment", "blank", "total"
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/application/repository/OrderRepository.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/application/repository/ProductRepository.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/application/usecase/Checkout.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 75
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/application/usecase/GetOrder.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/application/usecase/GetProducts.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/application/usecase/SimulateFreight.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/application/usecase/ValidateCoupon.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/domain/entity/Coupon.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/domain/entity/Cpf.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/domain/entity/CurrencyTable.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/domain/entity/Item.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/domain/entity/Order.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/domain/entity/Product.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
